Sampling Freq:,Counter:,Time:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,T8:,O2:,O1:,AF3:
,19,9.839898800263091,6174,4203,-2357,-60,-308,6436,6303,6557,-6958,6338,-781,-1009,7295,-2806
,20,9.869931567013607,1894,4368,5446,-3641,6016,5700,-5005,7197,-3423,-2413,5905,6066,6056,2875
,21,9.90155477418654,7671,-5475,-597,-5872,-1708,-6217,7582,-920,2966,-5179,-4478,-6834,-2987,7667
,22,9.934252672615601,-4924,6310,2435,1831,2444,1746,1456,-4671,-6930,4593,-260,7245,-4538,3894
,23,9.965519217429756,3421,4079,1802,6279,-5242,-4178,-3702,5961,-3465,5316,-196,-8053,6184,7305
,24,9.996271723688453,4497,4708,264,-7496,-547,-1520,6729,5750,-6789,-4742,-4326,4652,-4787,6805
,25,10.027313323178006,-1749,-7689,6837,-7270,349,1822,3462,235,-7055,-3723,4411,77,5179,-7852
,26,10.057728411449803,3038,7984,-5295,-2468,5024,-6083,-6405,-7180,6991,2442,-5430,1822,5715,-1882
,27,10.088996666874792,-4615,4314,5939,-8188,515,-575,-5525,4151,-432,2620,-3252,-5492,-7684,-4515
,28,10.122698693863098,-3800,-354,5749,3277,1101,-4185,-7202,-6873,5012,-110,4550,-6145,-1353,5529
,29,10.155079701635259,-1242,-1060,7130,-3536,-5181,-2691,1823,-4306,-63,4780,-5500,6186,1416,7242
,30,10.185304912104538,3586,-2449,2166,1225,-4712,6156,4471,6240,2733,-3448,-7508,-2665,1019,3847
,31,10.21599327045698,-4212,-3380,-6995,-1192,-5130,2513,-7893,-2943,3883,4691,-7316,-285,838,3356
,32,10.248631725159578,4769,-6308,-984,2825,4483,-841,6554,5261,-2116,-6430,4471,-5606,-347,6949
,33,10.27809699676609,3246,4323,4102,5493,6734,4800,-2837,-5144,-2687,-5180,1670,-4035,7369,875
,34,10.311506936954583,-4155,358,1071,-4371,2859,-6747,2301,1451,-4561,1010,2069,-6714,-4337,-7264
,35,10.34211789016681,6350,-252,7331,3286,1810,7844,6006,-6532,-2094,5806,-5050,-2861,-1781,-7905
,36,10.373913441381216,6782,-580,-5804,4709,6672,-1946,4298,-774,-4235,-341,8030,7932,-1053,3525
,37,10.404869937981804,1978,-4195,6357,-4014,-5202,4942,7088,2394,7184,3515,7807,-8032,-189,-7688
,38,10.436648810740584,3383,6429,-6491,-1205,-6178,6071,-6120,-7700,5508,-3829,4720,-6336,-7138,-4688
,39,10.469492111090489,-6566,-5557,-5542,1985,5916,4861,-3276,1827,7772,7451,-405,-4448,-181,200
,40,10.499456453407666,-4527,-3374,4820,6568,-1082,-4304,3277,-7736,1747,-5904,5242,6983,6973,7765
,41,10.530288930722827,-3143,-592,3688,6378,-5369,-3203,7954,-822,-6944,142,7205,6263,-1603,-5333
,42,10.562577993162689,6440,5146,591,-156,-1020,3737,-7530,-5493,-4363,1921,-4997,1090,3924,-1101
,43,10.594041258222692,-2347,3732,-312,-7994,5225,-4626,-1988,-5818,4295,8184,-8019,-8132,3490,3030
,44,10.62609553932566,2877,-2841,2835,-4970,-2960,7024,-6624,8062,6919,5242,559,374,3242,-7273
,45,10.65703578512333,6425,-4351,1564,4508,4926,-4976,1635,3380,616,-6812,4282,-8031,-580,-6642
,46,10.688442172373122,-7083,1898,6000,5444,-5298,5967,-2193,-2201,-5586,-67,-7339,-8150,-2482,-4365
,47,10.721277347321568,-408,-6591,-3906,3149,-1065,5371,-1586,581,-3374,-1717,-4368,-4506,2945,-4252
,48,10.750843544967255,4602,5282,7214,2082,5652,-7350,-2630,5516,-5839,-7217,290,6245,-7470,-7514
,49,10.802691304024297,4983,-4386,3112,6716,5659,-1922,2898,1915,-8110,2967,3949,-5570,-1502,-3052
,50,10.836131607555084,5609,-1834,7280,-2147,4477,7648,5469,-480,-7325,1608,6192,993,-973,7241
,51,10.868514753590786,5729,2644,-2311,1585,-7732,626,-2699,-4128,-6137,-6744,4649,8016,3757,6941
,52,10.90101550412129,-5810,6728,-5462,953,4012,6595,-3129,-6390,4622,-3422,-6338,-2954,-7232,-4817
,53,10.93175432549332,3360,-5829,-4427,-5462,4554,6957,4286,-6004,-2886,7763,5785,1999,1669,-2870
,54,10.961357301271924,-5705,-482,-1963,5285,-3179,3519,2503,5991,-1,-8050,4817,4875,7939,-2825
,55,10.993327762444052,-4456,2694,1021,-5706,7082,-1878,5789,-87,6863,-7377,7526,-7522,-4607,702
,56,11.027472837638228,-269,-3514,-3177,-5915,-3389,-5858,-7203,-6181,-6464,-6275,-2126,-3444,-1677,-3018
,57,11.059043015875323,-7653,-1227,-4871,7587,-6382,-170,4553,-687,4810,-3107,1071,6035,-2019,5473
,58,11.089692030178597,155,-6047,-2527,1736,-4975,-744,-4877,88,6860,-196,5032,-7043,417,-2692
,59,11.120401771166456,6983,5549,7815,5025,-7209,7726,-3504,2898,3254,163,7524,-7225,-8172,1342
,60,11.151758978354787,-1328,-5278,5857,-6114,3072,-5353,-960,2,-7458,-3628,-2917,6901,850,-5052
,61,11.180945420395442,-2050,-3345,-1571,-5032,5831,-4480,5041,-5623,-7882,4170,-1137,-1521,-26,-4211
,62,11.211945537572284,-4833,6052,3466,-2583,5204,7813,2529,4678,-346,2546,2991,-422,3287,2163
,63,11.244657120888013,-5298,4373,-3214,8065,4262,1981,-4527,6486,3023,6193,6237,-5776,-1322,6494
,64,11.278182527307763,6739,-2229,-3940,2481,-5121,-4870,-881,7332,-3549,-4091,-683,-4375,4237,-1850
,65,11.311438084868536,2172,-1620,724,5680,-1545,-3751,-6362,-3939,895,-1781,4230,43,-2888,-1020
,66,11.343566777542758,-2366,4292,6430,291,-7994,-2273,5696,7598,6880,1510,-2762,-2984,5280,-6276
,67,11.374346225922084,-7300,7945,4855,5235,5414,-4717,6350,-64,-7127,49,-3704,4160,-7058,5836
,68,11.404203655062167,-1731,-7802,6384,5040,1058,-5513,1144,-1711,-2019,659,2364,-4090,596,2833
,69,11.434005489350165,4742,3467,-4952,-6547,-4728,-1547,103,-6253,530,2455,-7904,4583,2181,-2728
,70,11.46576982191686,-3569,1603,-6360,-7448,5572,-6767,-2142,6804,-5463,-7460,-336,6865,2038,5557
,71,11.49830264640049,-6608,2584,-6251,-2545,8069,4956,-3589,-7375,757,2972,-4498,-4999,-6273,-2000
,72,11.530543811737013,7441,-1222,-3302,-6197,5977,-4381,6965,7835,956,-137,1114,706,6167,3348
,73,11.562718263251034,-599,8133,-5922,3763,2736,6436,3527,2258,-1454,-7448,-7693,-6754,-3699,-7633
,74,11.593703412583082,-1482,-5629,5781,2283,-5235,4163,7859,6474,7886,7612,495,-4308,5556,5935
,75,11.623336751703983,-4835,-6078,1969,-4449,-3201,-5631,3365,937,1921,-8089,-3054,-4179,3620,1654
,76,11.655528309326336,-7848,7597,1906,-2901,3821,1866,-1232,-4905,5603,-2978,-7585,7417,-1463,-7728
,77,11.689363336306945,-3751,-6601,2217,7743,2152,-2209,7901,2126,-5833,3638,-7707,2729,-6867,5127
,78,11.720765019376945,-1582,-3923,7442,2763,7626,4996,-2499,-2022,-3149,6542,-5697,6084,2840,-7278
,79,11.754372535116703,445,-5106,4043,6174,624,6278,-7740,4049,5717,-6828,2889,-6392,631,-6682
,80,11.784232530173037,-7193,257,2768,2366,-7934,6518,7729,2413,2032,-512,7423,7966,-513,5816
,81,11.814639920696083,6792,-4611,400,7913,726,-146,2622,7134,3896,-6629,1076,345,7843,7237
,82,11.845527992863332,5975,75,4106,-2688,620,-4435,-2386,-5543,4253,7333,350,2620,3802,5587
,83,11.876640582702475,-4897,7903,139,-263,-2588,-1793,-450,375,4998,2433,4495,5275,1525,4489
,84,11.907063796375729,7016,-2718,4203,-6858,3990,-1446,5670,-4072,-7878,1868,-1857,8173,-5,-3498
,85,11.941623694697022,3828,7510,-3571,4069,2101,-3978,5633,-7699,-2744,-8104,-1631,-33,5438,1201
,86,11.972890239511177,1744,2581,3081,-8041,-5217,2518,7017,-4513,2273,5088,-2348,6547,192,5701
,87,12.005426057563765,-5203,-2174,-5873,-7082,273,6625,1551,2951,-5372,-4623,2838,-7787,-170,-2738
,88,12.036215769608091,-1313,303,-1612,2880,-5302,-5533,2525,2683,-6184,4947,1692,-3434,7525,4531
,89,12.06635202831403,7587,6908,-6317,-3893,6464,-2072,-4811,-639,-8088,7197,4754,5077,2637,-6608
,90,12.097624560266103,-2594,3857,-3605,-1486,-1031,443,6538,5658,-3420,-1165,7982,-7162,2400,4246
,91,12.129757101814702,8,-3400,-1900,-6629,-434,-6447,3713,-5866,246,-4756,1136,3243,233,2403
,92,12.160430492322352,4697,-1189,7317,-4311,-4772,5453,4701,-7028,-7729,-1231,6786,189,8106,6620
,93,12.192645998496372,-4034,4373,-6637,8065,4262,3674,4716,3106,3023,6193,-6468,-5776,-1322,-269
,94,12.224700279599341,5709,-912,5442,4810,-5638,-5253,1747,-1671,-4475,-855,-3688,32,-2712,-6474
,95,12.254634258574223,7478,-1272,-1775,5030,6178,3497,-3875,-7432,7829,3897,2296,-4883,-1396,-2160
,96,12.286723179546568,-7415,6381,4013,-5690,-5828,-5251,310,1505,1885,4555,-4491,7896,7422,-6511
,97,12.31634539969705,2786,-5738,-5118,-2092,-6110,538,-4801,-4263,7969,235,592,-4721,-839,181
,98,12.349630892947408,7046,-1120,-2449,-4616,-7145,1415,-2808,1857,-7268,-832,-1195,-2675,-6961,-4433
,99,12.382226582379168,-6845,3497,1656,5951,4570,5168,-1873,5001,-3315,-4022,-4637,513,-2932,-1644
,100,12.41266647450805,7951,-5234,5003,-7731,334,-2909,-4487,-1888,7021,-7844,-4216,6881,-3466,2664
,101,12.443125183356099,-4742,-5736,-3601,-714,2208,-6578,2497,1740,6327,593,3026,561,-7737,5702
,102,12.47435110116296,-4817,-6459,3919,-1273,5689,3440,-2705,3331,2984,6226,-3498,-6941,4517,-2288
,103,12.506971594451805,3840,1916,5433,1585,3581,-6351,-3093,-6697,-1513,-6508,2219,-641,-7197,-1427
,104,12.538685463998911,-4796,-7387,7593,2504,4282,-1348,-6730,169,382,-2278,-8010,5506,4628,3278
,105,12.57324151344583,3784,-1073,-6325,-589,-1437,7384,-2679,-8072,-4341,-7753,-3002,7584,1305,6848
,106,12.606213537260953,-3453,-3565,521,-2528,-6812,-2220,5118,3075,-4768,-5425,2874,5455,5261,-6485
,107,12.641858390503373,-1001,-4490,-4000,4631,-5719,-7964,-4204,2024,-1537,1697,-4138,8173,992,5432
,108,12.67924079669989,-7171,-6498,-7364,7019,4414,5907,1713,515,-485,2985,7249,3311,6924,-4773
,109,12.712718733669012,-7207,5043,-4958,6990,1121,-7778,-398,1427,1611,-6522,1407,-6479,-4710,6364
,110,12.746633304053377,3989,-4708,3532,-2859,4846,192,-3618,6912,-5625,-2756,-7227,-4848,-7291,1484
,111,12.777915244365033,722,-392,-6615,-4062,-7368,6693,3305,-3334,1751,5917,3578,287,1751,-7420
,112,12.812544422425082,4696,4168,-3634,4732,-7804,-255,-3194,-3809,-4934,7542,219,5190,6999,68
,113,12.848654561814206,-1522,-674,7538,1495,5499,-4341,3109,3551,-1729,-7416,-1830,-3726,-3523,-2620
,114,12.884106543685151,-1506,66,7815,-1489,-4643,5395,-2900,5725,6095,-8080,6170,7838,7394,3028
,115,12.919361805310249,2343,-7152,644,4519,1424,-4146,-4501,1017,180,-377,-112,-5129,-7561,6663
,116,12.951254861342163,718,-7196,-3198,-6972,2194,-159,7280,-80,1096,5215,6821,-8151,982,7396
,117,12.980952776022026,849,4072,5770,4409,-3710,3686,-6742,7773,-2986,-1114,6929,2659,231,-6182
,118,13.014681317478251,1343,7741,4779,-7511,6443,2407,2478,-5118,6715,-7969,1413,5460,6213,-7426
,119,13.04939431546914,1886,7220,6040,3227,6785,-4075,4053,-5691,6926,3225,-3642,-6085,-7045,-6481
,120,13.08442848064401,86,-6446,475,-2321,3609,2071,6501,-2137,-4123,8004,65,-2644,6091,-6440
,121,13.114781131620385,-2294,-4183,-7422,4261,6589,6467,-1196,7593,-1790,-7503,-6972,7866,-2931,-4622
,122,13.147067200491287,-4055,5171,-1894,4717,-5234,-6339,4977,-6321,2488,-3872,-3564,-1248,4196,3880
,123,13.175921356377541,-5268,7167,224,3914,4349,1048,-1932,-1536,4899,-4916,-4393,-1189,875,6043
,124,13.21116592668493,7406,1568,-7886,-5753,876,-5246,1921,3258,5597,446,-4826,134,8039,-3830
,125,13.243646149885432,569,-352,-4979,6934,-1469,-1763,-1720,-591,5291,1655,6384,435,591,430
,126,13.278989080315744,-1111,7705,536,-6300,7578,-4539,-7096,1776,6913,-7400,-4796,7104,-1630,1151
,127,13.313468152275155,-2042,-4922,1798,-1034,6869,6053,-2915,4567,7849,-344,7760,-1962,-906,-3158
,128,13.34478687071973,-835,-5387,-5854,4864,7567,3089,-6797,1344,-4158,1454,4416,-2167,-4237,334
,129,13.375369171200498,261,1321,-332,-3404,6497,-3829,-5473,3821,4620,5028,-6087,5532,6373,3561
,130,13.406323957190253,-5739,-7312,-3636,3920,5445,4858,8011,-2885,-1962,590,2500,5977,7676,-4799
,131,13.437901833176099,1487,4490,4713,-2818,54,-4822,360,-2822,6478,-7914,5288,-5621,6610,1861
,132,13.468357120802482,6934,-7193,3474,2794,-4724,-664,1673,4417,-6982,3637,-1014,-5960,4720,5217
,133,13.50089080059153,-6239,4257,-1815,6989,3851,5785,5961,950,-5904,2005,-4866,6241,2264,7212
,134,13.534703589631304,-6141,7296,5405,6835,-52,-7059,-3382,-7767,6565,-5483,-5788,1468,-5925,-3741
,135,13.564016189220927,994,-386,6588,-6575,-4675,-3112,3321,4340,4290,-7786,-7100,127,5915,7697
,136,13.59410968265603,-294,7716,-1634,7899,-4536,6116,1461,3941,3536,-8114,-909,-6533,-1005,-7780
,137,13.626539015184237,718,4985,2739,3762,-1006,-7767,-1408,-1887,-6251,-6614,8127,-356,3929,-7056
,138,13.657941125906945,5176,5027,3586,-5773,8116,-6114,-1528,2195,2554,2884,7167,-3124,-3211,1027
,139,13.69049405006787,968,5895,2502,5873,-6318,1232,4541,-8036,-4689,-5317,-3307,-4203,7402,-1469
,140,13.721566012899716,-775,-3859,-7234,6164,-4404,7389,4051,2650,-2974,5970,-4967,-2269,2832,-3461
,141,13.754182657314187,-1719,4138,-118,-5067,-8092,-4129,187,2421,-1647,-447,3076,5794,-2263,-3715
,142,13.784785485124956,-6349,-5882,6122,5348,-6836,938,-3731,1221,4886,-8064,-143,-4696,3240,3231
,143,13.814666007511292,6302,-8163,7752,1346,4643,-5410,-3420,-7727,-4689,-7948,-1160,-3222,1984,221
,144,13.846761770926971,6766,-966,93,306,-4373,8002,1394,-3174,2771,7168,-6998,-3144,-3858,5375
,145,13.878946486105992,-5172,7676,-359,-7604,-1388,6222,-6851,3189,681,-2576,1085,-4125,-4416,-2996
,146,13.913102252617875,602,1478,-3785,-7932,-6667,7861,1633,4054,-6305,-4069,-184,2730,-3565,2221
,147,13.944975636625204,-5776,-3643,187,-6897,-7757,1103,-2422,1922,-3489,-2735,6992,-4985,951,-6776
,148,13.975123869606978,-144,5565,-2336,-6750,-754,5901,3468,6953,5482,6028,-2320,-5383,6136,1200
,149,14.006604240775317,-5563,7342,-3405,7122,2415,6153,-1801,4127,5239,7270,-4080,-2437,4153,-3251
,150,14.037157460871915,-7391,7705,-7963,-6300,7578,4691,-5892,-7110,6913,-7400,3556,7104,-1630,-2730
,151,14.068047671302708,-6125,-436,-7016,-2365,3026,7118,1425,-4331,-390,7518,-5200,-1239,-4722,8082
,152,14.100445785183203,1138,3596,-1538,5480,-2406,5420,4793,2672,1056,-1387,-6758,-3970,-7351,976
,153,14.132781034115567,-950,-2768,-6887,3216,-846,5841,-5192,4598,-6136,5219,686,2972,6471,-6888
,154,14.165321984000657,-2527,2575,1472,927,6893,-7516,4946,6341,-4496,4163,-3627,-2239,-136,2425
,155,14.196569284442935,-2475,1975,1374,4911,4901,-5950,1615,1712,-5460,-1200,634,3452,7736,-7592
,156,14.22987402206517,7429,-2354,3318,-610,-5222,7486,-2098,-5208,6380,6636,-8078,6168,2512,-1996
,157,14.261127309645365,7234,4675,3893,-618,7721,-7757,4018,7313,-7412,4022,-7673,4073,-1875,-5257
,158,14.291671121382379,1359,1747,973,2656,-5374,-5433,-6641,4053,-3908,3934,-4381,1928,-7937,-3737
,159,14.33011838282273,2422,-431,-7504,-7632,-1339,7241,-5928,-5367,6063,5906,-6457,2750,3332,7026
,160,14.361937027283387,-1574,-8170,-1050,7926,5792,5857,550,4630,2635,8116,5504,434,674,1779
,161,14.396705620126363,1295,5424,7145,-5617,-2262,-3328,-2094,496,-5968,4750,5639,-3563,7941,-7661
,162,14.430597097264476,3619,-7383,2651,1398,1880,-7889,1379,5986,-369,6579,1972,3143,-2073,-7950
,163,14.46080862284709,4904,-4255,6478,772,7291,-8020,7904,3998,-5129,3635,-7004,-7880,1811,-8085
,164,14.493415431249268,-248,-5004,1105,2721,-5805,1267,1028,-5827,-781,-3243,4849,90,-3400,-3641
,165,14.524829088595101,7096,-5453,2563,-4031,7513,1818,-7539,8009,7306,854,132,7750,-1557,2706
,166,14.556418083551366,-7795,-8030,3026,8174,-8039,-6551,-8138,5961,-311,-4868,-1224,4419,8073,2351
,167,14.589126673298134,8175,-5807,-3791,-1047,-7685,672,4677,1069,-276,7911,-228,-2611,-2298,-4438
,168,14.620187944812272,-5759,-18,-5538,-4074,-3164,-7406,-2173,-577,3231,-6341,3456,2054,-6819,-4246
,169,14.650753566837414,-6337,-4141,6957,-1236,-4001,-4816,-4832,6429,-1529,-6764,-2111,7566,1544,3032
,170,14.680475002416237,-628,5959,2809,1105,470,2463,-4556,1582,6727,5185,-3027,2454,1778,5719
,171,14.712307759416271,1179,-6869,-6102,6353,5249,2022,2763,-7525,-4339,1059,-4435,-2857,2401,2085
,172,14.744384706112783,-3438,3581,-5531,-1758,2396,-455,6117,4209,-111,7134,2303,2779,2520,-5906
,173,14.777981102882123,-3466,4865,5183,-399,-7987,-7351,-6793,6496,-3657,-7276,6186,-5053,-3478,6404
,174,14.810149994910933,4092,5044,6538,4489,-7420,317,-4433,-5449,-2586,7883,-6768,-5462,347,-7568
,175,14.840576202153146,-5634,-7594,-3294,7976,7861,2779,-6059,-729,-7366,1142,-3023,-4364,2261,494
,176,14.872074534735235,2394,-4604,335,6770,-5574,4198,-7843,4922,-7556,6487,6093,8136,-5034,-6236
,177,14.90192683204282,1001,-5230,1157,-2764,-4224,3777,-6592,-1616,6135,5880,-653,6439,7576,7572
,178,14.935411183802568,6431,4820,-8104,496,1116,7245,4112,4091,371,-2931,-1703,5317,2198,-4957
,179,14.965103538997223,-3986,7246,-5471,-2817,-5978,4151,5998,3972,-5511,-7118,-6799,1176,544,1327
,180,14.996348273523251,-6642,4716,-824,5764,-4526,440,-6488,3942,1234,-3022,2198,8044,-3054,6502
,181,15.029512313404432,1150,-5554,5823,725,815,976,-6107,3234,3406,-724,-2798,-3383,-3771,2475
,182,15.062179848491198,5330,3680,-1974,432,473,-7515,-3051,-7175,-4061,1307,-6462,-2088,-1009,7075
,183,15.092555165061116,7194,5288,1443,-4847,-3817,-4594,-1088,899,2314,246,-3416,426,4825,-6842
,184,15.123399616652112,-6964,7434,-4722,4435,3603,3514,3684,2639,-2996,-1428,-3278,-4453,-178,-7443
,185,15.155036508711714,2936,-1425,-227,2346,5079,-3149,672,3603,-4538,7815,-1680,298,-653,6857
,186,15.1867136001259,-1941,7224,-6330,-2096,6191,-76,-1791,7559,1158,-5151,-2323,-6026,-6282,-4187
,187,15.21797415780214,5031,-3594,-7601,-1644,4242,2026,-4297,-6193,-1020,1402,-895,7028,6696,6463
,188,15.24814676698829,-6693,-7231,-4116,-6146,3675,-5259,-6224,-287,4661,-2686,6344,5484,-3816,4318
,189,15.280166835874589,2877,5438,-8043,-4228,-5251,-3771,-3650,4018,2297,604,-6128,-2746,5492,-6070
,190,15.31441240945523,4811,-2361,140,8086,718,7112,-6689,-179,3091,3726,8152,4876,3408,7917
,191,15.344742822490769,7844,6486,-6096,7370,-2177,5211,-7906,6329,7001,2604,-6817,-6926,5969,304
,192,15.37561207793885,2293,-6264,-6997,5834,7205,-4051,-6661,7573,-2164,872,5406,-1076,4905,5232
,193,15.40662844591861,5225,-5057,1474,3160,945,7419,5554,-6101,7117,2836,7203,3438,-6825,7452
,194,15.44323722836569,3781,-6445,-7806,-3973,2553,-4869,6019,2016,-5681,-5183,-76,-1199,-5087,-1245
,195,15.486248827162447,5202,7891,3421,-7382,7385,7207,-5422,-2312,2713,-4035,7235,3872,-5507,-2479
,196,15.526800995233383,561,5348,-6582,-6051,-1473,7138,4998,4339,-5778,7799,-6433,7840,6832,-2854
,197,15.563340925594416,561,5348,-6582,-6051,-1473,7138,4998,4339,-5778,7799,-6433,7840,6832,-2854
,198,15.59815442197177,1354,2650,465,-1117,5825,-8059,3155,-1822,1838,-4261,-4719,4427,4572,-1270
,199,15.631128156397727,6607,7402,-7181,5337,1698,2182,6082,20,-7955,-4303,-2797,-4986,491,-3853
,200,15.666652411576388,-3974,-4648,947,-3074,-1966,-7082,1043,-6015,2219,4702,-6699,-5368,-4722,7661
,201,15.705541010611775,-5729,-3916,-3497,-4114,3977,-3390,-1448,2696,7296,6450,-6373,7700,121,-7325
,202,15.742314439351576,-4582,8140,8107,2778,836,6087,6554,-4319,-6504,-5986,-1853,-8166,2699,-3102
,203,15.778613601237797,-4161,-1807,-7338,-54,-117,1367,5362,6821,6840,-7955,3361,4162,796,6371
,204,15.813152972229089,-448,90,4627,-322,-4658,-2097,-5402,3948,-271,372,-2933,6435,5771,1081
,205,15.847176166401379,-51,-2329,2416,5825,6594,-3506,3394,8162,-1694,-2861,-7061,-2953,5869,6222
,206,15.881942620980812,-6613,7834,5005,-7297,6147,-4004,3894,-1477,-639,3701,4882,5585,-5000,1141
,207,15.921536846985006,-2453,5645,-7621,6439,-3079,3814,-5732,-5339,1627,-1933,4601,-4738,-1338,-4037
,208,15.957964304683738,-7639,3488,-2238,-6323,-315,8005,-6521,-7664,1533,992,4165,-3285,5327,3127
,209,15.997000443903511,2733,1166,-7770,6552,-1417,5678,-4412,-6845,-2251,-2633,-1961,-7374,-4479,-465
,210,16.034265673257934,5730,3324,-4690,2940,-579,5633,6426,3075,-2343,-5946,-5,2067,7647,-6340
,211,16.066576545985924,2279,-7235,-5929,7315,-7870,-2049,-3919,1704,1504,-4806,8054,-3694,-2216,-1359
,212,16.104599148286866,2934,-4370,5453,-3735,-3368,1647,1611,-8080,6216,-2040,5807,-954,2846,1092
,213,16.14155219116418,-8192,7724,4863,2391,6111,-1560,-5127,-822,2178,-946,-3471,4760,-5794,-4452
,214,16.177265041187233,-3449,-6095,4720,1472,7909,-4617,-7221,5735,-697,-4070,6682,-7213,-372,-2620
,215,16.21101197170992,7648,2946,-1173,2133,-2551,-7647,7598,3444,3125,-6250,-4003,613,-3212,7258
,216,16.243037600081426,-1934,2862,-2856,-6216,-3162,6801,-3164,-60,6196,5779,6160,-6666,-6893,369
,217,16.276608337688263,-1071,-1118,2730,1156,3125,-6226,-3995,-3059,-2219,6703,-847,5399,-3123,-7896
,218,16.31256623271321,-6455,4380,4801,-661,-7340,-959,-3128,-3024,3855,6460,5806,-4940,-6494,-7526
,219,16.348714005540668,3478,-2800,4899,-5703,6822,5724,-3158,6725,-6246,5068,-2559,-2645,5400,7868
,220,16.382725225437124,-29,629,-1203,4395,-8028,3586,-4951,-7794,2635,-2810,-7413,-5872,-3885,-6145
,221,16.418330734630377,6964,2131,-7242,-1979,-2436,4668,-3817,3089,-1433,2433,-7640,4247,5732,-2902
,222,16.45253610885643,-2396,-2867,7587,3490,-6151,-6693,7444,934,-6932,4302,-1660,4226,5104,-3335
,223,16.484387682575633,7902,5706,5095,-1335,-2026,-4520,-118,6742,-1060,4472,7544,-6759,-656,1632
,224,16.516039542480026,-4365,-6922,-4067,761,-5852,3126,-5904,4105,-929,-5780,-7437,4227,-6703,-5368
,225,16.552235640063532,-5364,8166,-1388,7483,5932,-6316,36,7489,-185,4945,-3365,-3570,-7863,-8062
,226,16.58673395639482,-5279,853,2203,-5353,1101,6701,6079,2690,-1623,4387,-1743,4730,834,4606
,227,16.6211398997411,70,6953,-610,-2270,6581,-5080,-7154,-393,-4564,-1546,4456,2415,-4905,-6508
,228,16.6552862578934,3219,-6687,3677,-5868,-5176,-6443,1856,-4661,5570,-5770,1475,3766,-4140,-3848
,229,16.690018072603454,-7721,-3232,-2826,-5893,2628,3895,5755,-3852,2370,-5747,-4015,8147,-5301,5828
,230,16.729883002772045,-428,6298,-4434,5727,1041,-2187,-5247,2244,6431,7023,7663,2538,-536,1951
,231,16.772867659448174,-905,-2279,-5055,2860,-6170,-6990,-3221,-7951,-4516,-286,2252,-467,1471,-5312
,232,16.81125889838373,1299,-6207,901,7723,-7887,-4288,-8177,-8162,1204,3076,-5034,-2097,5695,-3201
,233,16.84496306363558,774,897,-337,6305,7158,-6284,1747,5640,-3404,-5016,2439,2783,1278,-344
,234,16.88051554389299,-3339,7431,610,3673,4277,845,2953,5546,-3801,4687,5640,544,-5868,-4107
,235,16.91754086007802,-1292,-6878,-1407,4534,-4408,-3013,7951,-6474,-7370,-4577,-1348,-3043,-3001,6494
,236,16.957247558744513,5481,2010,-7316,-4918,2010,943,-758,-3984,-5321,-2384,-2967,-7989,7453,-2118
,237,16.99957106433351,1779,2719,-3103,7293,6029,1708,3833,2575,1195,-1016,-2882,-1468,-112,6233
