Sampling Freq:,Counter:,Time:,F3:,F4:,P7:,FC6:,F7:,F8:,T7:,P8:,FC5:,AF4:,T8:,O2:,O1:,AF3:
,30,11.987278187231487,1028,5612,-3777,-5800,-4625,4213,-5523,-7235,-6168,7226,7043,-6034,1323,3840
,31,12.023737718883348,4864,-6139,-7619,6898,1419,-4977,2318,6307,7379,-1972,-8031,1650,1008,5447
,32,12.066649246946346,7031,7648,5341,6911,-2291,-362,-4454,6383,-2256,-7304,-1391,2930,-6712,72
,33,12.099645219313139,1383,-5356,-7042,1436,-2223,-5898,-1796,6747,2348,3832,-989,-7116,5425,-7726
,34,12.14472451895485,-7717,-8045,-4723,-4938,-2349,2416,-5344,-5517,7330,2662,-5246,8017,-596,-68
,35,12.185016246526391,-6541,-1611,-5570,-5652,-7763,-5879,-7896,30,5517,308,-4997,-2402,4446,-225
,36,12.221966723487457,6351,-6541,-5510,-4264,2802,3934,3639,-3687,-6294,4779,-4178,-2384,2478,-789
,37,12.262197724374408,6902,-4511,946,478,-1971,-6601,-7305,3640,4726,-832,4069,-7225,-6465,1270
,38,12.29673666771299,-6187,-3841,-7026,-1283,-4376,2573,3949,7754,-5957,1107,2626,-7464,-798,8191
,39,12.3386470607857,6567,-5885,-5975,-5062,-1647,6591,-1477,-4149,7333,-7592,-6553,6570,-7823,519
,40,12.37605256022847,-4420,-802,871,3577,6776,7471,5766,-1567,8090,2484,-2542,-312,2966,-7136
,41,12.412386789636777,1986,3387,-7900,-1375,5710,-7533,-7822,3088,1998,-7156,-5352,5406,-3822,7226
,42,12.45143875200676,-304,-836,858,-2716,6117,-1422,1105,7248,4065,-6593,3192,6452,7347,1219
,43,12.490753720792389,-4833,5325,-1249,-291,3023,6132,2146,-2436,2303,-6064,5016,3205,7049,3031
,44,12.528575753973108,-6316,622,6823,2530,2671,-100,2084,-5203,8084,6737,3904,7005,-6588,5062
,45,12.564668359601189,-6936,-5132,4302,-2017,2046,-7238,574,3073,8167,2130,3779,6918,5723,-1243
,46,12.604014974687237,-753,-5159,4839,5655,-7984,-4970,1636,-3768,-3602,-1103,7468,4948,-6938,-7811
,47,12.64153422975043,-182,-8083,1061,-8169,-2282,6387,-4784,3629,705,2979,-7966,-1403,6078,5493
,48,12.675695983400232,5679,-6919,5609,-3613,-930,1027,-457,-5853,-7330,6043,-3472,1074,-4268,-4137
,49,12.713985440991197,-3521,4228,3226,-1758,6043,1973,-1927,2101,-2754,312,-6551,-775,-6326,4607
,50,12.746911705966525,-1805,-7167,-5571,-6364,-5313,6374,-6683,3720,3929,-7750,4671,-876,1993,7220
,51,12.783926758486555,-30,-2675,588,5458,-7722,-1978,-2874,-3794,3714,7744,-3682,6878,-4006,-2250
,52,12.823882351029317,4363,4015,-3534,-1690,-2287,7034,-6321,-7995,936,4868,7686,7338,-5982,7897
,53,12.860548866592026,-7344,4986,2405,1872,5877,-8191,2951,4182,6543,-5256,5744,-1244,-3805,-230
,54,12.899176169822601,4200,8020,-4293,-6849,2527,-5446,2912,1135,-4260,-1503,-534,3700,6376,-2701
,55,12.937671756018998,5580,6122,-2102,-7987,7426,-379,-5434,-6446,-2547,-1559,-1840,4098,6095,-925
,56,12.975062715269683,6408,7534,4480,-2226,-6222,-3038,7429,1585,5835,4583,1040,-7515,-1850,-3479
,57,13.015037552184321,-6168,2939,5250,3825,-5407,1795,1491,1888,715,-248,5154,5603,-5162,-207
,58,13.056032768461126,-5832,-4560,1017,-4455,8162,-5592,5400,6396,3153,3168,-432,-7546,6649,3260
,59,13.101507646858078,-5205,-2147,-7203,62,-1220,6885,7203,7250,6582,-5528,1655,-6786,-6616,-6976
,60,13.14205297248568,5323,-1520,-8161,7001,6739,4109,-2390,-6141,-3775,6527,4987,6666,2216,1483
,61,13.178424835332324,1021,7610,-4787,815,6160,-4541,1263,-8170,-3384,-4299,8100,-1561,4454,232
,62,13.214638039024164,-2746,-5445,-4540,-7712,8189,-2505,-7161,-7869,-3171,-7631,6361,-7308,-4061,2091
,63,13.249214188148375,2019,-3890,1675,4606,-6174,5151,6127,250,5423,-7152,-7487,938,-774,-2064
,64,13.288353391670865,-537,-1414,1188,1912,3715,2584,5091,3340,7538,-6189,-7544,188,-1669,-8133
,65,13.325826887894264,1515,5064,1142,-3447,-2725,-5427,6250,-6441,3205,-35,6813,1170,-5293,-5740
,66,13.361503387437104,1921,3548,7528,-929,-802,-2414,813,1529,7221,6587,6666,-5299,-8185,-690
,67,13.397062282485141,3269,3174,-3808,6783,820,5838,3291,-8137,5362,6764,-2207,-5829,1675,-3264
,68,13.431065804632848,7579,5222,-4871,8122,991,7873,-2654,-7228,1190,7067,1429,446,-3779,5047
,69,13.470643352181414,5392,1252,-2914,-2199,2651,3812,-2299,-5504,7680,2385,3576,-1123,-7854,2629
,70,13.50712212820515,-7471,1106,1202,7865,6715,2223,1339,-4470,-1896,-7096,1583,3880,-3271,6733
,71,13.547689264120878,-5880,5626,-5208,6209,169,-5717,8052,2683,-1781,-5130,-6288,-4161,2942,7302
,72,13.585522843924723,-4756,-764,3210,512,1321,6956,-7383,2726,8017,7434,1005,6962,-6668,2738
,73,13.618912684435921,-2214,-277,3316,-2354,-5722,-4514,-3986,-6561,-2701,-7255,5427,672,6858,-4174
,74,13.65600385913804,3922,5177,-2604,-4710,4310,-4667,7247,-102,7952,-1376,-3875,-3112,-6341,1476
,75,13.691141516268337,-3368,3230,-2864,7149,-758,825,1490,-5195,4780,-6236,4202,-4279,1854,4971
,76,13.728961411185514,6766,-3041,-2257,-1999,-7010,-2293,2125,-3903,-7544,7366,-1822,8020,-4425,4395
,77,13.768349508584272,-4076,-3031,3576,5286,6075,-8181,6602,-2380,2875,1762,3125,5521,7943,3663
,78,13.801413905384404,4031,-1211,5375,-111,1522,-7924,-2027,5711,-5609,2588,-5699,5351,5919,2969
,79,13.840954247147343,-6803,-4689,6697,2099,-2636,-4544,6020,-880,3710,-6450,-2230,4804,-6746,-736
,80,13.878257109940103,1793,1965,-5462,-7129,4250,2258,-6796,5971,-963,-7899,-4698,5444,7405,-5884
,81,13.914230400462548,5402,6179,5915,7951,-5147,-3342,90,6439,-2550,2394,4523,5722,-6764,-1761
,82,13.957174002478675,-938,-5105,-5086,-2994,-1523,-1240,3116,2287,-6401,-3452,4226,-6720,-8081,4488
,83,13.991477736827655,-3085,-5349,-1078,3758,-5027,-950,-2901,758,-1687,5156,3508,819,-2858,-750
,84,14.029899766758213,-3239,-2488,2180,485,-4634,-5469,2156,7680,3937,3836,-7490,3472,3644,2434
,85,14.072405024748262,146,-833,-5784,4198,916,1071,4019,5967,777,-4493,8159,-2639,-8069,-446
,86,14.113608080241333,-6197,7419,-5091,1216,4528,-175,-5067,-1902,5129,-4311,1816,4347,7537,2118
,87,14.14741488214319,6632,-298,-3836,3974,292,-3261,-5076,-4325,1027,-4559,-2328,2459,-5576,5252
,88,14.184640767448444,-1277,-6534,-7014,4761,-4342,6999,6218,-1120,8100,-3069,-6081,-3612,4301,-7711
,89,14.222711694505433,5194,-3682,4677,5680,-6268,-1702,-2580,761,4660,7861,5492,-2279,-4032,4475
,90,14.261036219618482,-5210,7741,7882,-3845,5949,-5917,-7049,487,3477,4733,-2741,-3080,6344,4302
,91,14.298888616141495,-7831,-6990,-4878,2529,3218,5748,847,857,78,-980,-5584,-6816,659,-4163
,92,14.335431112418778,-569,-3095,-688,-4558,-213,-2916,7152,4114,3216,3890,4223,-6868,6551,4491
,93,14.370297210079261,-4849,-43,7197,-1166,3551,1805,-4492,2926,-6281,7834,-1485,-2683,7581,-3971
,94,14.40747990246097,-5254,5651,4622,5408,-2316,4070,-734,193,3877,-3359,5149,1308,-7995,6995
,95,14.444365803863072,5526,7760,-1016,7289,-7297,-6315,2168,-7760,-7303,-931,-6226,407,-3217,5639
,96,14.482626608722576,3634,4551,4606,-2607,3290,-2035,2309,-2090,-2926,3217,-3443,2873,-6941,-4319
,97,14.51774160025933,-6632,1665,7760,529,5505,2047,-1766,-4682,5120,-6342,6902,3068,-2631,4767
,98,14.55327611910299,-5007,3807,-1803,2678,-2761,-4214,-1575,7465,4341,1550,-6203,6518,-302,-462
,99,14.597391489540042,6645,7799,769,-5704,1736,6159,-8158,-823,-4317,-1901,1277,-7926,3371,2276
,100,14.635898622359566,-4388,-5349,7103,-732,6462,-3428,4982,-3160,7002,2702,-4049,6781,525,-6109
,101,14.674329632996999,6280,8096,-6423,4218,5632,-7234,4819,6898,-5881,-8072,5324,5279,2011,1184
,102,14.715102469865451,1980,4990,-1475,7540,599,85,6809,2440,5556,3656,2827,-7352,7248,-3461
,103,14.753159712035773,560,6239,-3541,7101,-5021,-5022,-1376,-4363,-4580,-7371,2046,5783,333,-6976
,104,14.790045185785166,288,2471,4677,-6747,-3093,7314,5056,-3229,3566,-2047,6303,7970,-5746,-7310
,105,14.828809337882419,4555,-6458,-4777,2702,4428,5472,4415,5838,5446,-360,-1384,5772,-4918,7559
,106,14.869449174758568,1955,383,-6657,7517,-2931,4140,967,-1351,-7822,-1576,-6773,2736,5198,6063
,107,14.906651539164862,-2246,6713,1207,-7897,4377,5784,-1084,6657,-5265,3978,-4121,363,-339,-2510
,108,14.9420111480508,5779,-6064,-4530,2441,1125,5165,-2850,6030,-7557,-6107,6334,3138,-1896,4385
,109,14.978725560716848,-464,-4223,-2548,6148,-437,-5670,3414,-1109,-217,-1895,-1636,-7332,-11,7458
,110,15.017044526344689,3030,-247,-3797,2435,7852,5815,-7504,6698,3431,-5192,2834,6862,7652,7226
,111,15.060399957918973,-2084,-6459,6460,-5156,-2002,-2284,2175,6487,6174,5014,-7602,-5208,3796,4951
,112,15.100874293196986,-1314,-215,-7237,8184,-6196,-7953,1039,-3505,-4918,-6462,7841,7169,-3220,-4680
,113,15.140704583496198,399,-917,3022,6258,7298,-1785,-6102,-2776,6328,4273,-2970,-7696,4552,-4113
,114,15.180119195362876,-6567,7942,4496,-5635,3850,-2892,3843,5375,-6545,-3519,-7545,-4441,2488,6090
,115,15.21840608703759,-1413,-2182,5505,2171,-6582,-1723,5752,4291,1900,-153,4807,-6473,4522,-77
,116,15.255999326019332,5242,-569,39,3680,-4994,2302,-3219,7854,4982,-7061,-6489,-5674,-1554,3793
,117,15.29160013103279,-7890,-6459,-772,4684,156,-5632,796,8066,-3239,-3113,-409,1560,6216,6561
,118,15.330490440679009,-605,-6614,4118,3553,7063,-1962,7945,337,6479,-562,-1598,-7191,-6459,-6919
,119,15.365904361458911,-7748,-1740,3592,-6281,-6474,-3973,-6168,-7255,-7141,-3361,5327,6266,7292,-4310
,120,15.40146325650695,3709,5473,2488,5590,2705,7154,3480,3878,-6920,5859,23,1114,-1999,-6484
,121,15.437287296234176,5096,8164,-7023,6698,8011,4687,7506,-3603,5714,6476,-7933,-5816,2662,381
,122,15.471577345696488,6166,7848,7889,3844,5172,-7282,-3315,6877,5288,-1297,6700,2413,2560,4899
,123,15.505992269749644,868,-3149,2811,-6604,6765,-2849,-5344,4942,3050,-1022,-6040,2514,-2752,-5840
,124,15.543684296507019,-5029,1047,2454,-1182,-4461,2817,2446,-3333,2875,7797,7225,-2833,506,4203
,125,15.579448037202365,-5882,7078,-1162,7249,6560,-6184,7011,-1517,-2744,-5324,-7047,1411,-4576,-5568
,126,15.624710799855967,-3326,-2089,1786,2603,425,5332,-3747,5309,158,-7327,-4355,3645,-5503,-4229
,127,15.662126562963737,-3315,7401,-100,-3993,4055,4692,-5673,6139,-2322,1435,5389,7756,1416,-7700
,128,15.697960866355963,-7765,-7668,5400,3467,6937,2939,-1894,7323,-2415,-2991,-6464,-7278,6518,-3229
,129,15.733320475241902,-2283,5439,-6589,-2724,6088,6039,2104,-4411,-2218,1118,-7918,-4918,-1449,-7420
,130,15.76915691689767,2846,-3734,-7782,-7525,553,-3440,2541,5233,3406,-5282,-2800,6228,-8057,-2169
,131,15.808838811707078,-3741,4321,6569,1482,5033,7539,536,-771,-3452,-6486,7741,2090,2186,-6567
,132,15.845092642406213,-4811,-7992,-1547,826,3031,-6652,7447,-3025,-4899,-1269,-5852,5158,-4404,3325
,133,15.884437974534137,-5966,1617,4587,-8192,2795,-2334,-5279,4671,4828,1333,-4851,-1261,-7595,-5724
,134,15.920877834161411,-7550,4942,-7153,-1270,6180,2029,7996,-2949,-3952,3056,1328,7787,-1964,789
,135,15.955662250154596,5491,3706,-4587,7808,4246,-6437,-7476,5381,-6770,3143,5120,-638,-2093,4713
,136,15.996394887668464,-1198,-3439,8064,6041,5036,-6469,1685,-2343,6878,128,5218,-5510,-1089,-4005
,137,16.033789268140815,4205,-6223,7142,-3820,-7403,5636,5459,-7606,-6784,902,-3861,-727,3858,-7072
,138,16.07465319503615,5900,-565,7309,-1221,-8005,-6482,7404,-4748,954,-5901,-3190,-1757,-119,5498
,139,16.11972821815078,-5501,-3784,1538,-5853,1495,-8190,-6327,7423,3857,1929,5727,-4187,4905,2474
,140,16.166828176839527,2766,-1096,3620,-6865,-6009,3237,-817,-1686,7425,4767,3158,957,-668,-5897
,141,16.206379209920176,-6999,1836,-3794,2422,-7151,-6144,897,3908,-4008,-1937,971,1385,-3596,6945
,142,16.2463942461894,-7050,-2442,-1775,-7135,-1714,-5812,3140,-6079,2548,-2539,-1685,3384,2945,552
,143,16.282593337341865,1436,5082,7922,7995,-1283,7878,5451,-6281,1634,4016,-4648,-299,4747,-2220
,144,16.315972914188063,-5793,-2967,-572,1145,1246,4349,-2508,-8101,3943,-3134,-1688,-724,-8086,-557
,145,16.351489899270682,3390,2858,-1179,-7322,2036,-5958,8051,4888,7500,-3312,-5678,8145,6761,2043
,146,16.388937736331577,-1672,-2586,-2237,-1188,231,-6687,4237,2973,-3020,2327,-8079,-6844,2709,-5851
,147,16.42586811361535,1430,792,4448,-1719,-1056,-5125,-4313,388,8018,2582,-21,-826,7420,-7065
,148,16.466376233457325,7847,6534,5632,-5814,74,1481,-7835,-2956,-8119,3564,-1299,1347,-3796,-5992
,149,16.501769199254515,-2388,4207,393,-1716,-2551,-1516,-2543,-5995,-11,757,960,2694,4175,6296
,150,16.538109843453448,-2826,1582,-5538,-2565,4035,6578,-7898,-3843,-3809,-7267,4770,-7387,-1080,-6159
,151,16.576644346046308,1481,-220,7741,-6561,-373,-3685,-2035,312,71,5225,2353,-7317,-1745,-6807
,152,16.614456970867444,2419,-149,3587,1427,2051,-4277,-2589,-1344,1023,-7832,-2159,4456,3797,-3329
,153,16.65379289463578,-804,-1278,6336,-6621,7791,853,1996,-1635,4526,4377,-2896,1278,1502,-4832
,154,16.69177743584568,-428,-7815,-4720,-2822,2410,-4271,5775,-1977,-7757,3467,1270,7968,6116,8157
,155,16.731727041250526,-379,5002,1369,1286,-1804,-7792,-877,3381,-915,-1350,-1904,5353,-5615,669
,156,16.767055431488753,-6922,1954,-2251,8140,5049,-3739,-1244,-6858,6241,-415,-373,2016,7790,-1313
,157,16.80492707238364,3616,349,-1075,-6482,-3130,2158,3071,545,6129,-3135,-5148,-7032,-3893,-1075
,158,16.838904507716137,5566,3879,5560,-1895,1126,-1624,2216,-1468,-7897,1062,-3499,2443,-5513,-7489
,159,16.879699582525426,-2528,4971,-6661,-4833,1357,2120,-2879,-5600,453,1053,-111,4168,5985,6205
,160,16.921491943450626,3565,1469,3192,7885,-5309,1809,1301,3114,4274,-2862,-3183,-4428,-78,-5874
,161,16.9575892532585,-3919,4099,-50,1432,7891,2820,1405,-7591,-6955,-1284,-6065,7147,-7606,-3749
,162,16.994193759178497,2867,-3573,4876,1733,-7184,-5368,-580,1324,-2684,5322,3390,4854,-6328,7344
,163,17.031568039973553,6801,6338,-2710,-1468,1006,-1295,-4017,280,7489,-3523,-85,3073,-2985,-3394
,164,17.067440404456825,4526,-6121,7781,7368,-4810,564,-6299,-7479,3159,-2097,1831,-6954,1857,-4112
,165,17.110689350506725,1023,8124,-2890,7513,592,4810,-4308,-5420,18,6195,5249,2965,5713,6467
,166,17.151097827267648,3510,-5759,690,-7186,4171,-4360,-4587,2511,-669,2164,6343,898,6405,7216
,167,17.19224571556134,7524,-5655,696,-2998,7768,-6879,1497,575,2501,-7283,6978,2875,2750,3203
,168,17.231677433536355,5765,7945,-1089,-2788,2175,3043,-6837,-3603,-706,-3702,4130,1451,7949,-6344
,169,17.26722905848835,-8124,-6100,4716,3844,5451,-922,2486,7481,-7112,7317,826,727,4361,6353
,170,17.30534702734326,3509,-1167,207,-2209,1234,3060,-7167,352,4457,-7253,-3595,1598,3255,-1748
,171,17.346849439732186,-3412,6492,-633,-766,8085,6263,1262,1737,2890,-5742,-1494,6119,-5014,-7569
,172,17.385172254234405,-951,-7199,-4140,7481,5498,-3389,-4582,-1209,7892,-3998,-7400,-2029,-4756,-138
,173,17.421750245686482,2167,5568,-5002,-3019,-5416,-3809,-6412,-5134,2896,6512,-7394,-6866,2432,6985
,174,17.462499561655974,-3109,4549,-6792,2119,-7825,2246,7618,-5602,5830,-7604,2281,3750,-3247,4437
,175,17.499196868213687,-3908,322,-8091,-4921,876,3127,-6646,5603,-2873,3987,3801,3875,4270,-6343
,176,17.536400943230813,-3775,2738,-3191,-1275,2093,-4042,5306,7107,-6802,6991,-3020,4812,2609,1658
,177,17.577183616111558,2417,-5000,-3200,8151,4911,6857,-6457,-140,4195,-2884,-7044,-6394,2917,6763
,178,17.615228456353336,-3186,-4185,-4422,343,-815,902,-5337,-7403,-7913,6273,1562,-6095,-1054,-8059
,179,17.65420942837373,1403,-7727,5936,-8098,-7101,-1301,3377,2856,-4754,4421,7621,-5770,2135,-3953
,180,17.688522998735003,5775,754,-4820,-7643,1426,-4815,3842,-3607,-7314,2271,6059,7897,5162,-67
,181,17.723810334313228,5757,-5619,-2829,297,-598,-407,8098,3309,-1403,-1756,3138,-5359,3226,7395
,182,17.760705644074914,1844,3460,2485,153,3300,138,-5690,-6027,2730,5882,-3890,-568,6171,3293
,183,17.796827757739873,-8086,6483,-6386,-8049,-5544,-6476,6647,-8034,-4809,-2852,-4937,3758,-3196,-3203
,184,17.836042228139036,-2529,2415,-1887,-2404,170,-2774,-1459,-907,-215,733,-7111,5845,-2559,-627
,185,17.873887782218713,7393,-7154,-5347,-7938,-3287,3701,-1490,-7626,3313,1069,1943,-4451,-5131,-7409
,186,17.908688449014818,7998,7352,-4484,-1664,-2849,6617,-1762,-7550,2286,5682,-1224,2425,6447,5248
,187,17.9501784594752,1144,3561,-4557,2060,4344,-7404,-7172,5050,1759,-5037,-5429,161,-2042,-5660
,188,17.986154743566605,-6570,-1117,7123,1457,-2081,-1821,-2658,-6702,-5291,-932,-4940,-1553,1542,3917
,189,18.023733014703556,329,2622,-7771,8133,-7141,3747,96,7521,-6098,1294,-6547,-6029,5352,-777
,190,18.06809941728042,6118,-8109,-3899,3814,-3361,-4351,-3616,500,6626,-4026,5451,380,1663,2887
,191,18.107133845889358,-7064,6829,2940,-7888,8070,-173,-1291,3994,5378,-4417,2238,-2770,7985,560
,192,18.146902981851273,-2767,3248,5252,-1109,-2113,1003,-1675,1035,4118,1771,-7883,4573,1536,-4608
,193,18.19061464813163,1044,-5701,2422,3615,5926,2610,1595,-1775,-2961,6234,-4962,7528,-7224,6177
,194,18.23082469403587,-3105,1497,-615,2061,-2471,-4233,5510,-34,-3038,-1511,7840,-3451,-7845,-663
,195,18.26923090081622,1458,-1516,3082,4594,-5936,8024,5108,-3564,919,4761,-1415,5827,-1875,-62
,196,18.305832413167256,-4646,5557,-7869,1325,-6305,4253,226,1272,-3246,-6924,-656,-2777,4795,-3279
,197,18.34838599591335,6123,1236,-5886,-5040,-3894,682,5097,3469,-5289,6322,6892,-2695,-5418,-2658
,198,18.383403482632595,4352,2966,1300,1534,4853,-4731,-5488,-7619,4121,3898,-6642,4876,-7752,-3445
,199,18.41823536807641,-5614,-1108,5202,543,-512,7499,-5020,4327,-8022,4213,-4326,-5995,-7998,7905
,200,18.45924213097634,4277,6366,-2466,3733,-3394,-7801,-7835,7615,-2341,1790,2099,172,1660,-5369
,201,18.49842880394946,7295,-2942,7406,-1035,-5389,4980,-6386,4295,2797,-5381,7951,332,1292,-2806
,202,18.538003785581775,-5417,-3018,-6731,6631,-1179,262,-7259,-7969,-1097,408,6933,-5193,3742,4928
,203,18.57544178663038,7100,-4429,2149,7506,2622,-4673,-2144,-4508,3587,-5481,7316,-7837,8073,1837
,204,18.61407208342991,-4769,931,-2415,-6139,-5377,-1755,-6225,-3576,4858,-5182,-1873,-3688,-746,-797
,205,18.65286061173154,-8086,6571,-653,-2712,-62,4978,-1211,-3423,-6012,7346,4197,-4922,6243,1492
,206,18.690232754263057,-2434,-6956,-3051,-7226,433,6764,-760,7365,-3795,6102,-7508,-7494,-191,-1842
,207,18.73157650749718,-3547,306,-5346,-5255,7071,391,-6166,4719,8147,6692,-118,-910,-6051,4970
,208,18.77231898102334,2810,1642,7381,-6864,959,-3659,948,-2916,-116,-486,-2956,4427,7127,-1837
,209,18.81082397557932,4955,2844,-6024,-1193,-3664,2648,-1072,-4845,-3295,7612,3993,-4386,-3127,-1804
,210,18.845506182575203,-3366,4510,-6450,6029,4885,1315,-786,-808,3479,-1392,-4281,-4491,2793,602
,211,18.879432299582696,-4433,7896,6871,-1904,-6485,-5301,1041,7962,-2509,3990,7452,2921,5765,7795
,212,18.922267277810896,7850,5294,-6940,-4559,3102,6664,-1317,6265,-6408,1597,-6918,-3436,-3654,-1801
,213,18.960518674310816,-5987,-3286,-3362,2702,-917,-7692,-5841,-2332,474,-2976,-6649,1495,-2695,6116
,214,19.00045074595462,-92,-748,-5731,-7402,-3454,-5993,7458,-5313,4691,3325,-4328,7828,-575,-4386
,215,19.040005200256935,-4018,-4474,7890,4493,5595,7823,2189,514,3572,-2039,-4096,4408,-5382,7331
,216,19.077394448896783,-6495,7120,7027,-233,1213,-3883,-721,-2692,5224,1827,2836,-6255,-4643,6638
,217,19.118806626564247,3648,-7977,3415,740,3298,66,4029,-5581,-6143,-3914,5312,6155,-122,-4230
,218,19.15862579789304,3729,-3071,465,-3807,4792,1153,-1789,-655,-1409,881,-395,-7810,366,-295
,219,19.19855359300976,-2352,2846,-7859,-6214,2943,-3086,2720,-6074,4961,-7032,7396,2303,8115,1671
,220,19.23740969043931,2903,-4097,662,1960,1043,-2859,2411,-5066,-735,-5803,-873,-7771,-3502,-4261
,221,19.272253977811665,-7131,1931,7346,-2813,-4174,1737,7328,-6602,6455,-6769,-62,-2696,-4045,-6533
,222,19.385481447142553,3790,5812,3265,-4430,-2640,-1968,-5880,-71,-2697,2834,4846,-3714,271,-6986
,223,19.423253872609102,3950,-6829,-3030,-6095,-7590,2213,-2755,7076,6747,6692,6092,5365,4187,-6444
,224,19.463605471559813,8007,4322,7398,5794,5804,6836,699,5144,1379,4705,-6472,3593,6849,-1313
,225,19.501743112439307,-2056,7128,3015,2667,-6379,4971,880,1136,5733,-7964,-354,733,-4652,-955
,226,19.539184962362285,-3979,-462,920,-1365,1323,2515,-7006,-5721,-5720,-1806,-722,-6266,4191,-5375
,227,19.576370220660245,-7850,-7714,-5148,571,-5891,4652,8069,-4799,-5285,-2236,-4109,4680,-957,-4600
,228,19.612103170360587,-1958,-5111,-4295,5208,-2298,66,1090,4800,107,-5060,2228,-7407,1421,4370
,229,19.652961965423422,936,-2930,-450,5345,-3448,2381,6305,-2982,2668,5722,5343,5105,-2205,1986
,230,19.69404527815815,1736,-777,4616,-6631,4295,-3061,-6649,993,7512,1569,-5387,-6740,-5780,-3870
,231,19.729180369372198,-7612,-5585,3951,1424,-634,-4336,3037,-7660,-1711,-4989,6047,-5699,1278,2735
,232,19.766734691957478,722,8051,4582,851,-4562,-2844,4017,6030,-8040,4883,3265,1108,-7006,5820
,233,19.80185524297944,5308,-4511,6507,-5849,2256,-2527,-6055,-1438,953,5287,-345,6523,8079,1068
,234,19.845257288698935,-4988,-1021,-6975,8188,3909,-4978,-1754,-40,-5618,-4825,895,5326,-7102,888
,235,19.883645106412825,7609,-2805,-2322,5490,7720,-7513,-3039,2270,-8163,-988,7104,-3020,-6835,-1642
,236,19.91728469610571,6193,121,-5381,7051,7247,825,7115,6632,6460,1837,-4642,-3742,-2469,-7196
,237,19.95445327594804,-5520,-2814,-5305,7933,4104,-5289,-4024,6536,-7768,-3966,2638,-2316,7498,6205
